ATC_code,pvals,coeff,z.obs,SE,CI.high,CI.low,name,group,HR,HR_l,HR_u,p.adj.FDR,p.val.group,N.pd,N.nonpd,users.group,hover.text
A01,0.014743809664823401,0.17387542066950956,2.438611495278502,0.07130099280109073,0.31362279862159703,0.03412804271742209,STOMATOLOGICAL PREPARATIONS,A,1.1899073187291798,1.0347170862339035,1.368373486823043,0.1789421239763937,(0.05-1],200,71124,(30k-100k],"drug name: STOMATOLOGICAL PREPARATIONS
HR (95% CI): 1.19 (1.03; 1.37)
 p-value: 1.5e-02 (adj.: 1.8e-01)
 PD-users: 200
 non-PD-users: 71124"
A02,0.12277966827621709,0.03177102997512273,1.5432106741101697,0.020587616783717632,0.07212201739872162,-0.008579957448476158,DRUGS FOR ACID RELATED DISORDERS,A,1.032281116810215,0.9914567453419628,1.0747864787136103,1,(0.05-1],3115,894520,(250k-1mln],"drug name: DRUGS FOR ACID RELATED DISORDERS
HR (95% CI): 1.03 (0.99; 1.07)
 p-value: 1.2e-01 (adj.: 1.0e+00)
 PD-users: 3115
 non-PD-users: 894520"
A03,0.038415761188289946,0.09657791859013777,2.0703908159716504,0.04664719232963416,0.18800473553613375,0.005151101644141787,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A,1.1013953969769432,1.0051643913773396,1.2068392303668565,0.3997567343182287,(0.05-1],482,211456,(100k-250k],"drug name: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
HR (95% CI): 1.1 (1.01; 1.21)
 p-value: 3.8e-02 (adj.: 4.0e-01)
 PD-users: 482
 non-PD-users: 211456"
A04,0.15888239426018488,-0.11979772511292007,-1.4088403048614035,0.0850328633412467,0.046863624538239654,-0.2864590747640798,ANTIEMETICS AND ANTINAUSEANTS,A,0.8870998565937993,0.7509178093907581,1.0479790807028695,1,(0.05-1],140,95127,(30k-100k],"drug name: ANTIEMETICS AND ANTINAUSEANTS
HR (95% CI): 0.89 (0.75; 1.05)
 p-value: 1.6e-01 (adj.: 1.0e+00)
 PD-users: 140
 non-PD-users: 95127"
A05,0.588643420417767,0.1446364612542497,0.5408029338639776,0.26744762684780216,0.6688241776266494,-0.37955125511815,BILE AND LIVER THERAPY,A,1.1556193814746898,0.6841683573851945,1.951940835065641,1,(0.05-1],14,6304,(500-10k],"drug name: BILE AND LIVER THERAPY
HR (95% CI): 1.16 (0.68; 1.95)
 p-value: 5.9e-01 (adj.: 1.0e+00)
 PD-users: 14
 non-PD-users: 6304"
A06,2.7145070804200534e-21,0.4031428443375342,9.473180245158009,0.042556230738203374,0.4865515239021892,0.31973416477287925,DRUGS FOR CONSTIPATION,A,1.4965206458966975,1.3767617239193248,1.6266969110816907,2.7768161918620456e-19,(0-0.00001],587,194507,(100k-250k],"drug name: DRUGS FOR CONSTIPATION
HR (95% CI): 1.5 (1.38; 1.63)
 p-value: 2.7e-21 (adj.: 2.8e-19)
 PD-users: 587
 non-PD-users: 194507"
A07,0.8021610266450385,-0.011196632026560786,-0.2505513143863428,0.04468797960203835,0.07639019853529494,-0.09878346258841653,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A,0.9888658169676986,0.9059388564410734,1.0793836659227103,1,(0.05-1],523,190785,(100k-250k],"drug name: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
HR (95% CI): 0.99 (0.91; 1.08)
 p-value: 8.0e-01 (adj.: 1.0e+00)
 PD-users: 523
 non-PD-users: 190785"
A08,0.5283935927122367,-0.042384542660656006,-0.6304601112960478,0.06722795288908186,0.08937982375629988,-0.17414890907761188,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A,0.9585011251222573,0.840171779138354,1.0934959131843724,1,(0.05-1],227,89668,(30k-100k],"drug name: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
HR (95% CI): 0.96 (0.84; 1.09)
 p-value: 5.3e-01 (adj.: 1.0e+00)
 PD-users: 227
 non-PD-users: 89668"
A09,0.8003234535052333,-0.03387426064195682,-0.25292851556628715,0.13392819930214273,0.2286201865045453,-0.2963687077884589,"DIGESTIVES, INCL. ENZYMES",A,0.9666930483592573,0.7435132383535498,1.256864574214547,1,(0.05-1],56,18435,(10k-30k],"drug name: DIGESTIVES, INCL. ENZYMES
HR (95% CI): 0.97 (0.74; 1.26)
 p-value: 8.0e-01 (adj.: 1.0e+00)
 PD-users: 56
 non-PD-users: 18435"
A10,0.014868780812768224,-0.07468001031972886,-2.43555945637862,0.030662363886927623,-0.01458288142048915,-0.13477713921896856,DRUGS USED IN DIABETES,A,0.9280404021725863,0.8739106503975173,0.9855229338066692,0.1789421239763937,(0.05-1],1193,277914,(250k-1mln],"drug name: DRUGS USED IN DIABETES
HR (95% CI): 0.93 (0.87; 0.99)
 p-value: 1.5e-02 (adj.: 1.8e-01)
 PD-users: 1193
 non-PD-users: 277914"
