ATC_code,pvals,coeff,z.obs,SE,CI.high,CI.low,name,group,HR,HR_l,HR_u,p.adj.FDR,p.val.group,N.pd,N.nonpd,users.group,hover.text
A01,0.7253717098159683,0.07873783727900652,0.35128878226487237,0.22413991352458856,0.5180439952851221,-0.36056832072710915,STOMATOLOGICAL PREPARATIONS,A,1.0819206456268888,0.6972799348034674,1.6787408112691942,1,(0.05-1],20,11086,(10k-30k],"drug name: STOMATOLOGICAL PREPARATIONS
HR (95% CI): 1.08 (0.7; 1.68)
 p-value: 7.3e-01 (adj.: 1.0e+00)
 PD-users: 20
 non-PD-users: 11086"
A02,0.8252771017527775,0.010141397308915535,0.22076283657323864,0.04593797337601748,0.10017817064866966,-0.07989537603083857,DRUGS FOR ACID RELATED DISORDERS,A,1.0101929955572064,0.9232129315352653,1.1053678446377577,1,(0.05-1],519,284394,(250k-1mln],"drug name: DRUGS FOR ACID RELATED DISORDERS
HR (95% CI): 1.01 (0.92; 1.11)
 p-value: 8.3e-01 (adj.: 1.0e+00)
 PD-users: 519
 non-PD-users: 284394"
A03,0.12527914258350423,0.21010773162930213,1.5329866568146653,0.13705776935193748,0.47873602336049714,-0.05852056010189288,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A,1.2338109732635316,0.9431588487582886,1.6140330123071702,1,(0.05-1],45,36042,(30k-100k],"drug name: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
HR (95% CI): 1.23 (0.94; 1.61)
 p-value: 1.3e-01 (adj.: 1.0e+00)
 PD-users: 45
 non-PD-users: 36042"
A04,0.49004578407538724,-0.2185471309759317,-0.6902360057502308,0.31662667429003305,0.40202974717722717,-0.8391240091290906,ANTIEMETICS AND ANTINAUSEANTS,A,0.8036856000653437,0.4320888635935506,1.4948557997550587,1,(0.05-1],8,9409,(500-10k],"drug name: ANTIEMETICS AND ANTINAUSEANTS
HR (95% CI): 0.8 (0.43; 1.49)
 p-value: 4.9e-01 (adj.: 1.0e+00)
 PD-users: 8
 non-PD-users: 9409"
A05,0.5087239474694917,0.38169570248717677,0.6608259366816307,0.5776039972097344,1.5137787343446298,-0.7503873293702763,BILE AND LIVER THERAPY,A,1.4647662925699194,0.47218362673019715,4.543868466398508,1,(0.05-1],3,1481,(500-10k],"drug name: BILE AND LIVER THERAPY
HR (95% CI): 1.46 (0.47; 4.54)
 p-value: 5.1e-01 (adj.: 1.0e+00)
 PD-users: 3
 non-PD-users: 1481"
A06,0.738757605682426,-0.0787907645912835,-0.3334990510004702,0.23625483897155797,0.38426021096628,-0.541841740148847,DRUGS FOR CONSTIPATION,A,0.924233286544742,0.5816759692574547,1.4685275189341986,1,(0.05-1],9,8394,(500-10k],"drug name: DRUGS FOR CONSTIPATION
HR (95% CI): 0.92 (0.58; 1.47)
 p-value: 7.4e-01 (adj.: 1.0e+00)
 PD-users: 9
 non-PD-users: 8394"
A07,0.01409527943918712,0.2543620282984103,2.454826003012544,0.10361713131043061,0.45744787384821184,0.05127618274860879,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A,1.2896386054349795,1.0526135668499594,1.5800363827776396,0.6269565163453882,(0.05-1],87,47654,(30k-100k],"drug name: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
HR (95% CI): 1.29 (1.05; 1.58)
 p-value: 1.4e-02 (adj.: 6.3e-01)
 PD-users: 87
 non-PD-users: 47654"
A08,0.6957413955623507,-0.046909245030545006,-0.3910755460479626,0.11994931798878554,0.18818709819761703,-0.28200558825870703,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A,0.9541739896922692,0.7542694694683812,1.2070593328495158,1,(0.05-1],71,72309,(30k-100k],"drug name: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
HR (95% CI): 0.95 (0.75; 1.21)
 p-value: 7.0e-01 (adj.: 1.0e+00)
 PD-users: 71
 non-PD-users: 72309"
A09,0.48427232016528776,0.21115656975094227,0.6994476466035973,0.30189045710037604,0.8028509929440135,-0.3805378534421289,"DIGESTIVES, INCL. ENZYMES",A,1.2351057201184263,0.6834936908976171,2.231894983355105,1,(0.05-1],11,4481,(500-10k],"drug name: DIGESTIVES, INCL. ENZYMES
HR (95% CI): 1.24 (0.68; 2.23)
 p-value: 4.8e-01 (adj.: 1.0e+00)
 PD-users: 11
 non-PD-users: 4481"
A10,0.25301409428718313,-0.07575830183998838,-1.1430590031547563,0.06627680778586338,0.054141854430587666,-0.20565845811056443,DRUGS USED IN DIABETES,A,0.9270402434047326,0.8141110818420491,1.055634337942404,1,(0.05-1],242,109877,(100k-250k],"drug name: DRUGS USED IN DIABETES
HR (95% CI): 0.93 (0.81; 1.06)
 p-value: 2.5e-01 (adj.: 1.0e+00)
 PD-users: 242
 non-PD-users: 109877"
