ATC_code,pvals,coeff,z.obs,SE,CI.high,CI.low,name,group,HR,HR_l,HR_u,p.adj.FDR,p.val.group,N.nonpd,N.pd,users.group,hover.text
A01,0.9209773372062695,-0.03145946609011692,-0.09920269236650989,0.3171231076459918,0.5900904035614454,-0.6530093357416793,STOMATOLOGICAL PREPARATIONS,A,0.9690302342418818,0.5204771272265921,1.804151509747459,1,(0.05-1],7416,10,(500-10k],"drug name: STOMATOLOGICAL PREPARATIONS
HR (95% CI): 0.97 (0.52; 1.8)
 p-value: 9.2e-01 (adj.: 1.0e+00)
 PD-users: 10
 non-PD-users: 7416"
A02,0.3860833167236941,-0.06356084016666828,-0.8667421290913847,0.07333304570449323,0.08016928829076812,-0.20729096862410468,DRUGS FOR ACID RELATED DISORDERS,A,0.9384170241156898,0.812783121191542,1.0834704710146374,1,(0.05-1],155475,203,(100k-250k],"drug name: DRUGS FOR ACID RELATED DISORDERS
HR (95% CI): 0.94 (0.81; 1.08)
 p-value: 3.9e-01 (adj.: 1.0e+00)
 PD-users: 203
 non-PD-users: 155475"
A03,0.04968846307768584,0.3217536800337013,1.9626361845299691,0.16393954344154618,0.6430692808210714,4.380792463312133e-4,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A,1.379544924643537,1.000438175217058,1.902310653726134,1,(0.05-1],27610,32,(10k-30k],"drug name: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
HR (95% CI): 1.38 (1; 1.9)
 p-value: 5.0e-02 (adj.: 1.0e+00)
 PD-users: 32
 non-PD-users: 27610"
A04,0.5615437102688283,-0.23740840832567497,-0.5805501019969809,0.40893698495450376,0.5640933541315502,-1.0389101707829,ANTIEMETICS AND ANTINAUSEANTS,A,0.7886691231985735,0.35384009717833576,1.757853309579323,1,(0.05-1],7032,6,(500-10k],"drug name: ANTIEMETICS AND ANTINAUSEANTS
HR (95% CI): 0.79 (0.35; 1.76)
 p-value: 5.6e-01 (adj.: 1.0e+00)
 PD-users: 6
 non-PD-users: 7032"
A05,0.6348365816086777,0.336020035336197,0.47493040129161535,0.7075142682430114,1.72272251964071,-1.050682448968316,BILE AND LIVER THERAPY,A,1.3993670613196056,0.3496990159261731,5.599753168077778,1,(0.05-1],1085,2,(500-10k],"drug name: BILE AND LIVER THERAPY
HR (95% CI): 1.4 (0.35; 5.6)
 p-value: 6.3e-01 (adj.: 1.0e+00)
 PD-users: 2
 non-PD-users: 1085"
A06,0.6517980905851393,-0.2021350740865432,-0.4512656613337914,0.4479292164378274,0.6757900577548451,-1.0800602059279316,DRUGS FOR CONSTIPATION,A,0.8169845670448422,0.339575080596659,1.965585288580847,1,(0.05-1],4602,3,(500-10k],"drug name: DRUGS FOR CONSTIPATION
HR (95% CI): 0.82 (0.34; 1.97)
 p-value: 6.5e-01 (adj.: 1.0e+00)
 PD-users: 3
 non-PD-users: 4602"
A07,0.06550413657430516,0.2810000825154493,1.8418018690952398,0.15256802983563414,0.5800279261855246,-0.01802776115462601,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A,1.324453713223146,0.982133766812477,1.7860883086870916,1,(0.05-1],28672,39,(10k-30k],"drug name: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
HR (95% CI): 1.32 (0.98; 1.79)
 p-value: 6.6e-02 (adj.: 1.0e+00)
 PD-users: 39
 non-PD-users: 28672"
A08,0.46899848695825774,-0.10819784541375178,-0.7241095419942294,0.14942193016234834,0.1846637562049101,-0.40105944703241364,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A,0.8974500224938978,0.6696102535122817,1.2028139334033139,1,(0.05-1],57814,46,(30k-100k],"drug name: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
HR (95% CI): 0.9 (0.67; 1.2)
 p-value: 4.7e-01 (adj.: 1.0e+00)
 PD-users: 46
 non-PD-users: 57814"
A09,0.8157894099539158,-0.11661416854490511,-0.23296393634259804,0.5005674714107323,0.8644800472524131,-1.0977083843422233,"DIGESTIVES, INCL. ENZYMES",A,0.8899284893358925,0.3336347709901725,2.3737715160240063,1,(0.05-1],2802,4,(500-10k],"drug name: DIGESTIVES, INCL. ENZYMES
HR (95% CI): 0.89 (0.33; 2.37)
 p-value: 8.2e-01 (adj.: 1.0e+00)
 PD-users: 4
 non-PD-users: 2802"
A10,0.5926213999582322,-0.06286150013212573,-0.5350411539745551,0.11748909343731571,0.16741289158127426,-0.2931358918455257,DRUGS USED IN DIABETES,A,0.9390735262421034,0.7459207692596509,1.1822423024419209,1,(0.05-1],50964,77,(30k-100k],"drug name: DRUGS USED IN DIABETES
HR (95% CI): 0.94 (0.75; 1.18)
 p-value: 5.9e-01 (adj.: 1.0e+00)
 PD-users: 77
 non-PD-users: 50964"
A11,0.6557851191323684,-0.06962378184086722,-0.44573992796062073,0.15619821665834296,0.23651909725886927,-0.3757666609406037,VITAMINS,A,0.9327446693862945,0.686762562878085,1.2668317484029683,1,(0.05-1],43143,42,(30k-100k],"drug name: VITAMINS
HR (95% CI): 0.93 (0.69; 1.27)
 p-value: 6.6e-01 (adj.: 1.0e+00)
 PD-users: 42
 non-PD-users: 43143"
A12,0.058059379113084286,-0.23518124729857307,-1.8952493184443555,0.12408987303665821,0.00803043469942491,-0.47839292929657107,MINERAL SUPPLEMENTS,A,0.790427573782482,0.6197786199536844,1.0080627651246665,1,(0.05-1],54303,67,(30k-100k],"drug name: MINERAL SUPPLEMENTS
HR (95% CI): 0.79 (0.62; 1.01)
 p-value: 5.8e-02 (adj.: 1.0e+00)
 PD-users: 67
 non-PD-users: 54303"
A14,0.21955593036137241,0.7095760441657296,1.2277097891034088,0.5779672447540961,1.8423710281276042,-0.4232189397961449,ANABOLIC AGENTS FOR SYSTEMIC USE,A,2.033129118953282,0.6549352260287455,6.311485243205292,1,(0.05-1],978,3,(500-10k],"drug name: ANABOLIC AGENTS FOR SYSTEMIC USE
HR (95% CI): 2.03 (0.65; 6.31)
 p-value: 2.2e-01 (adj.: 1.0e+00)
 PD-users: 3
 non-PD-users: 978"
A16,0.01766234570860635,2.3737179058478435,2.3726216528773456,1.0004620428921605,4.334587477815845,0.41284833387984277,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A,10.737238207237539,1.5111158234792543,76.29347964441087,1,(0.05-1],121,1,(100-500],"drug name: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
HR (95% CI): 10.74 (1.51; 76.29)
 p-value: 1.8e-02 (adj.: 1.0e+00)
 PD-users: 1
 non-PD-users: 121"
B01,0.8665139975047789,-0.010963266838412226,-0.16808806628201198,0.06522335035979568,0.11687215081782484,-0.1387986844946493,ANTITHROMBOTIC AGENTS,B,0.9890966107536991,0.870403236489026,1.1239757211274906,1,(0.05-1],159959,293,(100k-250k],"drug name: ANTITHROMBOTIC AGENTS
HR (95% CI): 0.99 (0.87; 1.12)
 p-value: 8.7e-01 (adj.: 1.0e+00)
 PD-users: 293
 non-PD-users: 159959"
B02,0.8635813409723788,0.06119325741830316,0.17181707534675786,0.35615352720213705,0.7592413437013981,-0.6368548288647917,ANTIHEMORRHAGICS,B,1.0631043471373498,0.5289534597064134,2.136654618970871,1,(0.05-1],14922,8,(10k-30k],"drug name: ANTIHEMORRHAGICS
HR (95% CI): 1.06 (0.53; 2.14)
 p-value: 8.6e-01 (adj.: 1.0e+00)
 PD-users: 8
 non-PD-users: 14922"
B03,0.43585988206996895,-0.09323071573914302,-0.7792034433404081,0.11964874710957046,0.14127651939095592,-0.32773795086924196,ANTIANEMIC PREPARATIONS,B,0.9109832978636546,0.7205518149441791,1.1517430832518705,1,(0.05-1],66495,68,(30k-100k],"drug name: ANTIANEMIC PREPARATIONS
HR (95% CI): 0.91 (0.72; 1.15)
 p-value: 4.4e-01 (adj.: 1.0e+00)
 PD-users: 68
 non-PD-users: 66495"
C01,0.8631212252822423,0.021236563376189958,0.17240234939800084,0.12318024348475738,0.262665404213189,-0.2201922774608091,CARDIAC THERAPY,C,1.0214636639510892,0.8023645065196134,1.3003915406206699,1,(0.05-1],42888,68,(30k-100k],"drug name: CARDIAC THERAPY
HR (95% CI): 1.02 (0.8; 1.3)
 p-value: 8.6e-01 (adj.: 1.0e+00)
 PD-users: 68
 non-PD-users: 42888"
C02,0.01773959336070688,-1.3702702076132587,-2.3710091199204086,0.5779270084204723,-0.23755408541615664,-2.5029863298103607,ANTIHYPERTENSIVES,C,0.2540383071933599,0.08184023140525185,0.7885542405434418,1,(0.05-1],5910,3,(500-10k],"drug name: ANTIHYPERTENSIVES
HR (95% CI): 0.25 (0.08; 0.79)
 p-value: 1.8e-02 (adj.: 1.0e+00)
 PD-users: 3
 non-PD-users: 5910"
C03,0.2928051941044567,-0.08482776161667956,-1.0519876973600508,0.08063569738463074,0.07321530112546727,-0.2428708243588264,DIURETICS,C,0.9186705010974855,0.7843728290907969,1.0759621678443059,1,(0.05-1],118094,172,(100k-250k],"drug name: DIURETICS
HR (95% CI): 0.92 (0.78; 1.08)
 p-value: 2.9e-01 (adj.: 1.0e+00)
 PD-users: 172
 non-PD-users: 118094"
C04,0.2245102996417845,0.8595918632806241,1.214621985434477,0.7077031978580095,2.246664642826146,-0.5274809162648981,PERIPHERAL VASODILATORS,C,2.3621963978485674,0.5900895840327219,9.45614356361749,1,(0.05-1],486,2,(100-500],"drug name: PERIPHERAL VASODILATORS
HR (95% CI): 2.36 (0.59; 9.46)
 p-value: 2.2e-01 (adj.: 1.0e+00)
 PD-users: 2
 non-PD-users: 486"
