ATC_code,pvals,coeff,z.obs,SE,CI.high,CI.low,name,group,HR,HR_l,HR_u,p.adj.FDR,p.val.group,N.nonpd,N.pd,users.group,hover.text
A01,0.5922382551822161,0.1301687807377736,0.5355953326178536,0.24303568909299814,0.6065099783179239,-0.34617241684237665,STOMATOLOGICAL PREPARATIONS,A,1.139020611841136,0.707390510553241,1.8340194487261372,1,(0.05-1],4544,15,(500-10k],"drug name: STOMATOLOGICAL PREPARATIONS
HR (95% CI): 1.14 (0.71; 1.83)
 p-value: 5.9e-01 (adj.: 1.0e+00)
 PD-users: 15
 non-PD-users: 4544"
A02,0.11519991678883877,0.0717406880678661,1.5752449437655707,0.04554256044547102,0.1610024663047277,-0.017521090168995515,DRUGS FOR ACID RELATED DISORDERS,A,1.0743767092383951,0.9826315115818971,1.1746878659485362,1,(0.05-1],168296,542,(100k-250k],"drug name: DRUGS FOR ACID RELATED DISORDERS
HR (95% CI): 1.07 (0.98; 1.17)
 p-value: 1.2e-01 (adj.: 1.0e+00)
 PD-users: 542
 non-PD-users: 168296"
A03,0.9861137434076706,-0.003088939486434185,-0.01740472038039571,0.17747711074482403,0.3447598056536475,-0.35093768462651587,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A,0.996915826378722,0.7040276242330544,1.4116508083997832,1,(0.05-1],12500,28,(10k-30k],"drug name: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
HR (95% CI): 1 (0.7; 1.41)
 p-value: 9.9e-01 (adj.: 1.0e+00)
 PD-users: 28
 non-PD-users: 12500"
A04,0.7469290004222517,0.09742490837035309,0.32269135432169016,0.30191359968457804,0.6891646901949694,-0.49431487345426317,ANTIEMETICS AND ANTINAUSEANTS,A,1.1023286627996727,0.6099886836048845,1.9920508584660972,1,(0.05-1],3611,9,(500-10k],"drug name: ANTIEMETICS AND ANTINAUSEANTS
HR (95% CI): 1.1 (0.61; 1.99)
 p-value: 7.5e-01 (adj.: 1.0e+00)
 PD-users: 9
 non-PD-users: 3611"
A05,0.08517271858146559,0.9942246076553466,1.7214305831335277,0.5775571884203168,2.1262158959713813,-0.13776668066068798,BILE AND LIVER THERAPY,A,2.7026279316058686,0.871301959629274,8.383084252219566,1,(0.05-1],575,3,(500-10k],"drug name: BILE AND LIVER THERAPY
HR (95% CI): 2.7 (0.87; 8.38)
 p-value: 8.5e-02 (adj.: 1.0e+00)
 PD-users: 3
 non-PD-users: 575"
A06,0.49192232135738556,0.12401792443990833,0.6872545705644856,0.18045412828327148,0.4777015167366911,-0.22966566785687442,DRUGS FOR CONSTIPATION,A,1.1320361619314814,0.7947992850360748,1.6123641478394053,1,(0.05-1],7028,17,(500-10k],"drug name: DRUGS FOR CONSTIPATION
HR (95% CI): 1.13 (0.79; 1.61)
 p-value: 4.9e-01 (adj.: 1.0e+00)
 PD-users: 17
 non-PD-users: 7028"
A07,0.4069072223311068,0.09536069053122,0.829348520892877,0.11498264978944513,0.32072254296551445,-0.13000116190307442,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A,1.1000555632028417,0.8780944106593732,1.3781231578786886,1,(0.05-1],25251,76,(10k-30k],"drug name: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
HR (95% CI): 1.1 (0.88; 1.38)
 p-value: 4.1e-01 (adj.: 1.0e+00)
 PD-users: 76
 non-PD-users: 25251"
A08,0.20795530163060888,0.1887736608525973,1.2592077538341457,0.14991462709612674,0.48260093071675814,-0.10505360901156355,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A,1.2077675564649673,0.9002762583722334,1.6202831707311718,1,(0.05-1],15732,44,(10k-30k],"drug name: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
HR (95% CI): 1.21 (0.9; 1.62)
 p-value: 2.1e-01 (adj.: 1.0e+00)
 PD-users: 44
 non-PD-users: 15732"
A09,0.24344822565403695,0.35216850678030726,1.1664112166712162,0.30192482869407733,0.9439302970591241,-0.23959328349850967,"DIGESTIVES, INCL. ENZYMES",A,1.4221481451341502,0.7869478606683293,2.570062704015557,1,(0.05-1],2261,11,(500-10k],"drug name: DIGESTIVES, INCL. ENZYMES
HR (95% CI): 1.42 (0.79; 2.57)
 p-value: 2.4e-01 (adj.: 1.0e+00)
 PD-users: 11
 non-PD-users: 2261"
A10,0.43195729067179234,-0.04879758363292452,-0.7858467219726444,0.062095549002777646,0.07290745601276172,-0.17050262327861074,DRUGS USED IN DIABETES,A,0.9523738862514587,0.8432408775699541,1.075630989127969,1,(0.05-1],74225,278,(30k-100k],"drug name: DRUGS USED IN DIABETES
HR (95% CI): 0.95 (0.84; 1.08)
 p-value: 4.3e-01 (adj.: 1.0e+00)
 PD-users: 278
 non-PD-users: 74225"
