sex	park_yn	n_users	ATC_code
1	FALSE	28438	A01
2	FALSE	42686	A01
1	TRUE	96	A01
2	TRUE	104	A01
1	FALSE	408596	A02
2	FALSE	485924	A02
1	TRUE	1762	A02
2	TRUE	1353	A02
1	FALSE	69878	A03
2	FALSE	141578	A03
1	TRUE	185	A03
2	TRUE	297	A03
1	FALSE	36176	A04
2	FALSE	58951	A04
1	TRUE	54	A04
2	TRUE	86	A04
1	FALSE	1765	A05
2	FALSE	4539	A05
1	TRUE	6	A05
2	TRUE	8	A05
1	FALSE	87285	A06
2	FALSE	107222	A06
1	TRUE	328	A06
2	TRUE	259	A06
1	FALSE	75011	A07
2	FALSE	115774	A07
1	TRUE	258	A07
2	TRUE	265	A07
1	FALSE	19652	A08
2	FALSE	70016	A08
1	TRUE	74	A08
2	TRUE	153	A08
1	FALSE	7917	A09
2	FALSE	10518	A09
1	TRUE	29	A09
2	TRUE	27	A09
1	FALSE	154780	A10
2	FALSE	123134	A10
1	TRUE	788	A10
2	TRUE	405	A10
1	FALSE	170050	A11
2	FALSE	235603	A11
1	TRUE	726	A11
2	TRUE	529	A11
1	FALSE	94529	A12
2	FALSE	277265	A12
1	TRUE	377	A12
2	TRUE	910	A12
1	FALSE	626	A14
2	FALSE	2993	A14
1	TRUE	4	A14
2	TRUE	8	A14
1	FALSE	271	A16
2	FALSE	666	A16
1	TRUE	1	A16
2	TRUE	3	A16
1	FALSE	524141	B01
2	FALSE	470201	B01
1	TRUE	3798	B01
2	TRUE	2060	B01
1	FALSE	2655	B02
2	FALSE	41545	B02
1	TRUE	5	B02
2	TRUE	32	B02
1	FALSE	161764	B03
2	FALSE	259903	B03
1	TRUE	753	B03
2	TRUE	678	B03
1	FALSE	5679	B05
2	FALSE	6343	B05
1	TRUE	5	B05
2	TRUE	6	B05
1	FALSE	167710	C01
2	FALSE	151194	C01
1	TRUE	1180	C01
2	TRUE	642	C01
1	FALSE	34484	C02
2	FALSE	16018	C02
1	TRUE	257	C02
2	TRUE	40	C02
1	FALSE	231810	C03
2	FALSE	319946	C03
1	TRUE	1260	C03
2	TRUE	1258	C03
1	FALSE	2229	C04
2	FALSE	1923	C04
1	TRUE	10	C04
2	TRUE	6	C04
1	FALSE	99667	C05
2	FALSE	121943	C05
1	TRUE	374	C05
2	TRUE	251	C05
1	FALSE	370227	C07
2	FALSE	369339	C07
1	TRUE	2675	C07
2	TRUE	1803	C07
1	FALSE	265531	C08
2	FALSE	265070	C08
1	TRUE	1631	C08
2	TRUE	1025	C08
1	FALSE	495952	C09
2	FALSE	470413	C09
1	TRUE	2880	C09
2	TRUE	1834	C09
1	FALSE	474345	C10
2	FALSE	410388	C10
1	TRUE	3023	C10
2	TRUE	1886	C10
1	FALSE	216296	D01
2	FALSE	178389	D01
1	TRUE	932	D01
2	TRUE	440	D01
1	FALSE	17045	D02
2	FALSE	24375	D02
1	TRUE	12	D02
2	TRUE	6	D02
1	FALSE	225	D03
2	FALSE	194	D03
1	TRUE	3	D03
1	FALSE	2729	D04
2	FALSE	4970	D04
1	TRUE	12	D04
2	TRUE	8	D04
1	FALSE	43520	D05
2	FALSE	39400	D05
1	TRUE	169	D05
2	TRUE	87	D05
1	FALSE	104215	D06
2	FALSE	170054	D06
1	TRUE	396	D06
2	TRUE	343	D06
1	FALSE	395406	D07
2	FALSE	487330	D07
1	TRUE	1786	D07
2	TRUE	1223	D07
1	FALSE	13183	D08
2	FALSE	17681	D08
1	TRUE	37	D08
2	TRUE	35	D08
1	FALSE	1607	D09
2	FALSE	2391	D09
1	TRUE	3	D09
2	TRUE	6	D09
1	FALSE	23137	D10
2	FALSE	59912	D10
1	TRUE	74	D10
2	TRUE	84	D10
1	FALSE	20730	D11
2	FALSE	30167	D11
1	TRUE	77	D11
2	TRUE	46	D11
1	FALSE	234	G01
2	FALSE	73962	G01
2	TRUE	72	G01
1	FALSE	1012	G02
2	FALSE	98198	G02
1	TRUE	6	G02
2	TRUE	18	G02
1	FALSE	24795	G03
2	FALSE	725783	G03
1	TRUE	110	G03
2	TRUE	1772	G03
1	FALSE	394963	G04
2	FALSE	107657	G04
1	TRUE	2791	G04
2	TRUE	578	G04
1	FALSE	5478	H01
2	FALSE	38447	H01
1	TRUE	49	H01
2	TRUE	32	H01
1	FALSE	265035	H02
2	FALSE	338414	H02
1	TRUE	789	H02
2	TRUE	737	H02
1	FALSE	56942	H03
2	FALSE	214569	H03
1	TRUE	354	H03
2	TRUE	797	H03
1	FALSE	4364	H04
2	FALSE	3414	H04
1	TRUE	11	H04
2	TRUE	6	H04
1	FALSE	1819	H05
2	FALSE	4176	H05
1	TRUE	5	H05
2	TRUE	15	H05
1	FALSE	1068148	J01
2	FALSE	1276748	J01
1	TRUE	4288	J01
2	TRUE	3338	J01
1	FALSE	19822	J02
2	FALSE	95510	J02
1	TRUE	49	J02
2	TRUE	132	J02
1	FALSE	2900	J04
2	FALSE	2451	J04
1	TRUE	17	J04
2	TRUE	6	J04
1	FALSE	44015	J05
2	FALSE	60330	J05
1	TRUE	119	J05
2	TRUE	95	J05
1	FALSE	472	J06
2	FALSE	750	J06
1	TRUE	1	J06
1	FALSE	99873	J07
2	FALSE	124226	J07
1	TRUE	336	J07
2	TRUE	231	J07
1	FALSE	23466	L01
2	FALSE	22216	L01
1	TRUE	39	L01
2	TRUE	24	L01
1	FALSE	45105	L02
2	FALSE	46901	L02
1	TRUE	245	L02
2	TRUE	102	L02
1	FALSE	14015	L03
2	FALSE	23150	L03
1	TRUE	20	L03
2	TRUE	27	L03
