sex	park_yn	n_users	ATC_code
1	FALSE	10736	A01
2	FALSE	16682	A01
1	TRUE	41	A01
2	TRUE	37	A01
1	FALSE	288403	A02
2	FALSE	345656	A02
1	TRUE	1596	A02
2	TRUE	1227	A02
1	FALSE	22989	A03
2	FALSE	54051	A03
1	TRUE	109	A03
2	TRUE	171	A03
1	FALSE	11484	A04
2	FALSE	20697	A04
1	TRUE	13	A04
2	TRUE	31	A04
1	FALSE	903	A05
2	FALSE	2522	A05
1	TRUE	6	A05
2	TRUE	11	A05
1	FALSE	25787	A06
2	FALSE	36179	A06
1	TRUE	102	A06
2	TRUE	90	A06
1	FALSE	37210	A07
2	FALSE	55142	A07
1	TRUE	154	A07
2	TRUE	173	A07
1	FALSE	11927	A08
2	FALSE	46827	A08
1	TRUE	50	A08
2	TRUE	117	A08
1	FALSE	5391	A09
2	FALSE	6871	A09
1	TRUE	24	A09
2	TRUE	26	A09
1	FALSE	142608	A10
2	FALSE	111398	A10
1	TRUE	902	A10
2	TRUE	488	A10
1	FALSE	106201	A11
2	FALSE	146909	A11
1	TRUE	551	A11
2	TRUE	431	A11
1	FALSE	65592	A12
2	FALSE	217812	A12
1	TRUE	348	A12
2	TRUE	852	A12
1	FALSE	351	A14
2	FALSE	1798	A14
1	TRUE	3	A14
2	TRUE	5	A14
1	FALSE	137	A16
2	FALSE	317	A16
1	TRUE	1	A16
1	FALSE	460594	B01
2	FALSE	384546	B01
1	TRUE	4068	B01
2	TRUE	2145	B01
1	FALSE	881	B02
2	FALSE	14675	B02
1	TRUE	1	B02
2	TRUE	15	B02
1	FALSE	102626	B03
2	FALSE	169625	B03
1	TRUE	501	B03
2	TRUE	479	B03
1	FALSE	690	B05
2	FALSE	939	B05
1	TRUE	1	B05
2	TRUE	1	B05
1	FALSE	117905	C01
2	FALSE	109696	C01
1	TRUE	969	C01
2	TRUE	533	C01
1	FALSE	27566	C02
2	FALSE	12012	C02
1	TRUE	269	C02
2	TRUE	37	C02
1	FALSE	181149	C03
2	FALSE	253017	C03
1	TRUE	1149	C03
2	TRUE	1207	C03
1	FALSE	1450	C04
2	FALSE	1255	C04
1	TRUE	9	C04
2	TRUE	6	C04
1	FALSE	25580	C05
2	FALSE	33646	C05
1	TRUE	114	C05
2	TRUE	85	C05
1	FALSE	328764	C07
2	FALSE	321366	C07
1	TRUE	2793	C07
2	TRUE	1885	C07
1	FALSE	232413	C08
2	FALSE	229025	C08
1	TRUE	1753	C08
2	TRUE	1058	C08
1	FALSE	461775	C09
2	FALSE	435614	C09
1	TRUE	3160	C09
2	TRUE	2050	C09
1	FALSE	436195	C10
2	FALSE	376512	C10
1	TRUE	3286	C10
2	TRUE	2094	C10
1	FALSE	75551	D01
2	FALSE	55051	D01
1	TRUE	352	D01
2	TRUE	145	D01
1	FALSE	7823	D02
2	FALSE	12132	D02
