park_yn	n_users	ATC_code
TRUE	200	A01
FALSE	71124	A01
TRUE	3115	A02
FALSE	894520	A02
TRUE	482	A03
FALSE	211456	A03
TRUE	140	A04
FALSE	95127	A04
TRUE	14	A05
FALSE	6304	A05
TRUE	587	A06
FALSE	194507	A06
TRUE	523	A07
FALSE	190785	A07
TRUE	227	A08
FALSE	89668	A08
TRUE	56	A09
FALSE	18435	A09
TRUE	1193	A10
FALSE	277914	A10
TRUE	1255	A11
FALSE	405653	A11
TRUE	1287	A12
FALSE	371794	A12
TRUE	12	A14
FALSE	3619	A14
TRUE	4	A16
FALSE	937	A16
TRUE	5858	B01
FALSE	994342	B01
TRUE	37	B02
FALSE	44200	B02
TRUE	1431	B03
FALSE	421667	B03
TRUE	11	B05
FALSE	12022	B05
TRUE	1822	C01
FALSE	318904	C01
TRUE	297	C02
FALSE	50502	C02
TRUE	2518	C03
FALSE	551756	C03
TRUE	16	C04
FALSE	4152	C04
TRUE	625	C05
FALSE	221610	C05
TRUE	4478	C07
FALSE	739566	C07
TRUE	2656	C08
FALSE	530601	C08
TRUE	4714	C09
FALSE	966365	C09
TRUE	4909	C10
FALSE	884733	C10
TRUE	1372	D01
FALSE	394685	D01
TRUE	18	D02
FALSE	41420	D02
TRUE	3	D03
FALSE	419	D03
TRUE	20	D04
FALSE	7699	D04
TRUE	256	D05
FALSE	82920	D05
TRUE	739	D06
FALSE	274269	D06
TRUE	3009	D07
FALSE	882736	D07
TRUE	72	D08
FALSE	30864	D08
TRUE	9	D09
FALSE	3998	D09
TRUE	158	D10
FALSE	83049	D10
TRUE	123	D11
FALSE	50897	D11
TRUE	72	G01
FALSE	74196	G01
TRUE	24	G02
FALSE	99210	G02
TRUE	1882	G03
FALSE	750578	G03
TRUE	3369	G04
FALSE	502620	G04
TRUE	81	H01
FALSE	43925	H01
TRUE	1526	H02
FALSE	603449	H02
TRUE	1151	H03
FALSE	271511	H03
TRUE	17	H04
FALSE	7778	H04
TRUE	20	H05
FALSE	5995	H05
TRUE	7626	J01
FALSE	2344896	J01
TRUE	181	J02
FALSE	115332	J02
TRUE	23	J04
FALSE	5351	J04
TRUE	214	J05
FALSE	104345	J05
TRUE	1	J06
FALSE	1222	J06
TRUE	567	J07
FALSE	224099	J07
TRUE	63	L01
FALSE	45682	L01
TRUE	347	L02
FALSE	92006	L02
TRUE	47	L03
FALSE	37165	L03
TRUE	254	L04
FALSE	100729	L04
TRUE	7031	M01
FALSE	2019900	M01
TRUE	357	M02
FALSE	154080	M02
TRUE	327	M03
FALSE	88824	M03
TRUE	504	M04
FALSE	120645	M04
TRUE	857	M05
FALSE	167178	M05
TRUE	66	N01
FALSE	34814	N01
TRUE	6006	N02
FALSE	1867798	N02
TRUE	980	N03
FALSE	273168	N03
FALSE	35681	N04
TRUE	5504	N05
FALSE	1218642	N05
TRUE	3420	N06
FALSE	720332	N06
TRUE	200	N07
FALSE	148442	N07
TRUE	466	P01
FALSE	221934	P01
TRUE	6	P02
FALSE	2470	P02
FALSE	2469	P03
TRUE	1937	R01
FALSE	739189	R01
FALSE	124	R02
TRUE	1972	R03
FALSE	647457	R03
TRUE	3366	R05
FALSE	1091013	R05
TRUE	2356	R06
FALSE	836224	R06
TRUE	4914	S01
FALSE	1319893	S01
TRUE	110	S02
FALSE	42715	S02
TRUE	484	S03
FALSE	176117	S03
