park_yn	n_users	ATC_code
TRUE	59	A01
FALSE	24630	A01
TRUE	1681	A02
FALSE	530169	A02
TRUE	191	A03
FALSE	83080	A03
TRUE	57	A04
FALSE	24140	A04
TRUE	13	A05
FALSE	3434	A05
TRUE	101	A06
FALSE	39291	A06
TRUE	269	A07
FALSE	96758	A07
TRUE	179	A08
FALSE	81075	A08
TRUE	29	A09
FALSE	8744	A09
TRUE	739	A10
FALSE	182133	A10
TRUE	360	A11
FALSE	172559	A11
TRUE	453	A12
FALSE	178094	A12
TRUE	7	A14
FALSE	2365	A14
TRUE	2	A16
FALSE	672	A16
TRUE	3221	B01
FALSE	636340	B01
TRUE	21	B02
FALSE	27774	B02
TRUE	518	B03
FALSE	213585	B03
TRUE	3	B05
FALSE	1321	B05
TRUE	884	C01
FALSE	187094	C01
TRUE	180	C02
FALSE	32859	C02
TRUE	1227	C03
FALSE	332316	C03
TRUE	5	C04
FALSE	2237	C04
TRUE	295	C05
FALSE	120067	C05
TRUE	2432	C07
FALSE	501415	C07
TRUE	1544	C08
FALSE	344208	C08
TRUE	2913	C09
FALSE	675528	C09
TRUE	3091	C10
FALSE	628990	C10
TRUE	594	D01
FALSE	224604	D01
TRUE	3	D02
FALSE	1991	D02
TRUE	3	D04
FALSE	2013	D04
TRUE	158	D05
FALSE	56672	D05
TRUE	351	D06
FALSE	167945	D06
TRUE	1692	D07
FALSE	594410	D07
TRUE	27	D08
FALSE	11677	D08
TRUE	2	D09
FALSE	1457	D09
TRUE	83	D10
FALSE	56857	D10
TRUE	49	D11
FALSE	21601	D11
TRUE	35	G01
FALSE	48375	G01
TRUE	13	G02
FALSE	71618	G02
TRUE	1246	G03
FALSE	617138	G03
TRUE	1665	G04
FALSE	302145	G04
TRUE	37	H01
FALSE	30639	H01
TRUE	687	H02
FALSE	319680	H02
TRUE	740	H03
FALSE	208640	H03
TRUE	14	H04
FALSE	5669	H04
TRUE	4	H05
FALSE	2166	H05
TRUE	4336	J01
FALSE	1838034	J01
TRUE	82	J02
FALSE	73984	J02
TRUE	10	J04
FALSE	2239	J04
TRUE	105	J05
FALSE	51276	J05
FALSE	576	J06
TRUE	239	J07
FALSE	94320	J07
TRUE	17	L01
FALSE	8064	L01
TRUE	151	L02
FALSE	44668	L02
TRUE	21	L03
FALSE	16149	L03
TRUE	146	L04
FALSE	63969	L04
TRUE	4309	M01
FALSE	1631461	M01
TRUE	122	M02
FALSE	65693	M02
TRUE	194	M03
FALSE	73946	M03
TRUE	248	M04
FALSE	63251	M04
TRUE	332	M05
FALSE	95061	M05
TRUE	18	N01
FALSE	11455	N01
TRUE	2840	N02
FALSE	1204239	N02
TRUE	372	N03
FALSE	159134	N03
TRUE	2846	N05
FALSE	857924	N05
TRUE	1408	N06
FALSE	500496	N06
TRUE	101	N07
FALSE	97694	N07
TRUE	205	P01
FALSE	128100	P01
TRUE	2	P02
FALSE	703	P02
TRUE	1147	R01
FALSE	532500	R01
TRUE	1128	R03
FALSE	431380	R03
TRUE	1785	R05
FALSE	713136	R05
TRUE	1370	R06
FALSE	617463	R06
TRUE	2162	S01
FALSE	793616	S01
TRUE	52	S02
FALSE	23581	S02
TRUE	268	S03
FALSE	115567	S03
