ATC_code	pvals	name	group	HR	HR_l	HR_u	p.adj.FDR	N.pd	N.nonpd	direction_change	pvals_male	pvals_female	HR_male	HR_female	HR_l_male	HR_l_female	HR_u_male	HR_u_female	p.adj.FDR_male	p.adj.FDR_female
N06	3.479445292693e-287	Psychoanaleptics	N	1.9435790402565123	1.8749218902394351	2.014750323941241	1.4029256390431134e-284	4184	718141	increase	1.4119307752148123e-174	8.030734940414828e-117	2.031262585943639	1.845519282885114	1.933534423110347	1.7515307256492798	2.133930300768669	1.944551342219947	5.608730406107704e-172	3.238023018188435e-114
G04	2.7241650285171105e-88	Urologicals	G	1.47507721286406	1.419727060284709	1.5325852727456375	4.9022783912531586e-86	4016	501181	increase	1.5736961448491708e-57	1.8318825391838595e-40	1.4260757455696318	1.7066717113293302	1.3653536252923608	1.5775529450452204	1.489498393990429	1.846358525969023	3.1256622394420002e-55	2.462073468371092e-38
N05	3.64749399338454e-88	Psycholeptics	N	1.3956061054268556	1.35054481645902	1.4421708763515255	4.9022783912531586e-86	6603	1215580	increase	3.225145819118881e-43	8.51272181238634e-46	1.3592677545237453	1.4391702440233545	1.3012143845165942	1.368663046959	1.4199111618139837	1.5133096461427935	4.2705052630433516e-41	1.7161809834628847e-43
N03	4.0796884838169615e-40	Antiepileptics	N	1.484198279382583	1.4000353078825822	1.5734206988349524	4.112364968976061e-38	1232	272316	increase	5.8350522151583185e-15	1.1781922773097546e-28	1.3826777510367805	1.6094040929334008	1.2746612103890502	1.4797623286981092	1.49984776160923	1.7504037534389842	3.863177448791169e-13	9.501032575690447e-27
A06	1.0187576825150168e-35	Drugs For Constipation	A	1.6027575550650903	1.4882690086819756	1.7260533985003204	8.21533981737799e-34	748	193897	increase	1.607653068152931e-16	8.91582289007082e-22	1.5229390660462976	1.717039522821934	1.3780755961985467	1.5374132771448898	1.6830306009974572	1.9176527006503312	1.5965535995293125e-14	5.991489769895081e-20
C07	8.985248685640473e-29	Beta Blocking Agents	C	1.2143872436540646	1.1735506181397095	1.256644881570972	6.0381443467132966e-27	5411	737783	increase	7.125801342468618e-8	9.929403307162298e-29	1.1297347553716066	1.3555738189811173	1.080700635914533	1.2848059348592693	1.1809936767682998	1.4302396407503593	2.573310466320732e-6	9.501032575690447e-27
B01	9.555938024882458e-20	Antithrombotic Agents	B	1.1696992018136545	1.130843417977847	1.2098900705192974	5.504272472219478e-18	7080	991945	increase	1.8999640527532976e-10	1.4422287814433214e-11	1.151963080601032	1.2021963946392076	1.1028905351038842	1.139634865313738	1.2032190836988408	1.2681923090213891	9.434232134687844e-9	7.26890195364564e-10
A11	8.349681568368761e-16	Vitamins	A	1.2427102813888	1.1786648801296	1.3102357332472856	4.2082793968302096e-14	1552	404520	increase	1.4435786232125344e-12	2.5823449488733784e-5	1.286297108776663	1.1906718661738802	1.1996964967269133	1.0977058424385808	1.379149023574943	1.2915112939077884	8.192068275532043e-11	6.12477265918367e-4
S01	7.4414729310732e-14	Ophthalmologicals	S	1.1350949708033484	1.0980242928757185	1.173417201334077	3.3338114712237617e-12	5873	1317128	increase	4.482574477517285e-15	0.01382747326569219	1.1918370734602817	1.065587257113673	1.1406819574644833	1.0130321674068965	1.245286295955634	1.120868852002568	3.561300909510737e-13	0.21443423322015664
N02	2.2212677170110874e-12	Analgesics	N	1.1202452575291977	1.0852872828391895	1.156329256649558	8.956236322835537e-11	7182	1863651	increase	0.00276544564780408	1.941809422246854e-13	1.0654911767773414	1.2041989192217837	1.02213177610817	1.1460066185617113	1.1106899074334429	1.265346127647015	0.04577254353740412	1.1184928283690115e-11
M05	7.486549574367708e-12	Drugs For Treatment Of Bone Diseases	M	1.2554980867539045	1.176343432776783	1.3399789567591525	2.7441867263112607e-10	1047	166809	increase	0.03066857040971748	3.4982675682998443e-10	1.1874129565179303	1.260549916343087	1.0161340250237356	1.1726008520543232	1.3875625602377777	1.3550954604960077	0.3691736991135364	1.5672387249987772e-8
C01	8.544441678799793e-12	Cardiac Therapy	C	1.1746698218357885	1.1216306552186488	1.2302170807401276	2.8709596152367865e-10	2225	318119	increase	5.42744549863679e-7	9.742160542241911e-7	1.1595859513990134	1.2110079924985542	1.0943335938078311	1.12167469497877	1.2287291428230418	1.307456042701521	1.6584534252976676e-5	3.273396967683276e-5
R03	2.8917252455688848e-11	Drugs For Obstructive Airway Diseases	R	0.8611655753546014	0.8240628949185951	0.899938770145792	8.96888207703784e-10	2353	646098	decrease	7.2383600670424754e-6	7.9634587104712e-7	0.8744613390880155	0.8451150575682049	0.8246883252802226	0.7904919537989701	0.9272383397688722	0.9035126253924444	1.6913847965386396e-4	2.9189972592478984e-5
B03	7.884444276524023e-10	Antianemic Preparations	B	1.1702697677790854	1.1130480544885395	1.2304332448674309	2.1348734901181195e-8	1792	420616	increase	7.165300058232992e-6	2.358746461391814e-5	1.1703453981744885	1.171514027758892	1.0926605191889571	1.0886234451574524	1.2535534385784224	1.2607161120228856	1.6913847965386396e-4	5.9440974212868e-4
D01	7.94216240935592e-10	Antifungals For Dermatological Use	D	1.174643031953594	1.1158688348835109	1.2365129389613	2.1348734901181195e-8	1644	393728	increase	4.086186018425334e-9	0.02275332954622361	1.2078131679440545	1.1088593564780784	1.134148976485742	1.01451315447859	1.2862619275814269	1.211979427788609	1.8035441781695894e-7	0.3276510509656567
N07	1.63039009562452e-9	Other Nervous System Drugs	N	0.6780659887515424	0.5976372182708509	0.7693186954317766	4.108621982786064e-8	246	148201	decrease	6.509875666145296e-9	0.01850967355238641	0.6007077490576	0.7998007897712904	0.5057175684481143	0.6641203584485522	0.7135401700304407	0.963200864393219	2.585972218300489e-7	0.2764137449181649
A12	2.627756524237424e-9	Mineral Supplements	A	1.174838117950812	1.1141397677961211	1.2388433150720994	6.232479251721398e-8	1620	370972	increase	0.00104531016083031	1.5616704873166874e-6	1.164737957923706	1.1740193498946463	1.063236493516023	1.099623143409688	1.2759292207344088	1.253448913100518	0.02076186377469649	4.843626988904378e-5
H01	1.2448462053500578e-8	Pituitary And Hypothalamic Hormones And Analogues	H	1.7665387449669254	1.452283999744146	2.1487939948516255	2.788481929414795e-7	102	43766	increase	9.952471165425297e-8	0.0051378040445243	1.96205986400707	1.579720182563645	1.5311809038678958	1.1468071374231064	2.514189473120269	2.176055392196442	3.2945859564148035e-6	0.09006879240679663
A03	1.662374101700913e-7	Drugs For Functional Gastrointestinal Disorders	A	1.2382967877747997	1.143042132502381	1.341489426340278	3.5277662669772437e-6	633	210974	increase	0.00500467722060066	9.768253143557237e-6	1.1991097906493948	1.2624768072686336	1.0563093133437012	1.138572207040399	1.361215196976479	1.3998652690058593	0.07363146973837992	2.813283569846867e-4
H02	7.163228657194656e-7	Corticosteroids For Systemic Use	H	0.8848474350922164	0.8430630124561757	0.9287028037301944	1.444120584768373e-5	1883	602296	decrease	1.087673708678298e-6	0.04214501430146129	0.8471978894606088	0.9295821847254964	0.792559840714281	0.8663653847267464	0.9056026145100352	0.9974117772856	3.086183578683377e-5	0.4997950243384619
